Section,Dist.(Km),Location,River,Unnamed: 4,Unnamed: 5,Unnamed: 6,Classification of Particles,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Color and Quantities,Unnamed: 15,Type & Match
,,,,Fiber and line (mm),Number,Fragment and Sheet (mm),Number,Film (mm),Number,Pellet (mm),Number,Foam (mm),Number,,Number,
S-01,0.0,Tongi,Turag,"Lmax=0.91
Lmin=0.24
Black, Red",11,"Lmax=0.17
Lmin=0.06
Bmax=0.07
Bmin=0.03
Black, Blue ,Dark Red",29,"Lmax=0.41
Lmin=0.10
Bmax=0.19
Bmin=0.06
Transparent, Black",13,"Dmax=0.29
Dmin=0.07
Black, Dark Red",7,"Lmax=0.24
Lmin=0.07
Bmax=0.10
Bmin=0.04
White",3,"Black, White, Blue, Dark Red, and Transparent",63,"Polyvinyl Stearate-41.81%
Nylon II- 35.02%
Alkyd resin- 32%
Polyethylene Glycol-26.99%
Polyethylene_polypropelene- 25.72%"
S-02,1.6,Estema Area,Turag,"Lmax=0.93
Lmin=0.24
Black, Red, Blue",33,"Lmax=0.24
Lmin=0.07
Bmax=0.11
Bmin=0.07
Black, Dark Red",21,"Lmax=0.16
Lmin=0.06
Bmax=0.12
Bmin=0,05
White, Transparent",8,"Dmax=0.17
Dmin=0.05
Black ,Brown",12,0,,"Black,
White, Brown, Blue, Red, Dark Red, and Transparent",74,"Alkyd resin-84.20%
Polyvinyl Acetate_Ethylene- 74%"
S-03,3.2,Kathaldia Ghat,Turag,"Lmax=1.00
Lmin=0.11
Black, Light Blue, Red",27,"Lmax=0.13
Lmin=0.04
Bmax=0.09
Bmin=0.03
Black, Dark Red",43,"Lmax=0.09
Lmin=0.02
Bmax=0.07
Bmin=0.02
Black, White",8,"Dmax=0.13
Dmin=0.04
Black, Dark Red, Brown",14,0,,"Black, White, Red, Blue, Brown and Dark Red",90,"Polyvinyl Stearate-69.24%
Polyester Resin-23.89%"
S-04,4.8,Prottasa Bridge,Turag,"Lmax=1.63
Lmin=0.11
Black, Red, Brown",32,"Lmax=0.34
Lmin=0.08
Bmax=0.11
Bmin=0.02
Black, Dark Red",57,"Lmax=0.18
Lmin=0.03
Bmax=0.10
Bmin=0.04
White, Transparent",17,"Dmax=0.10
Dmin=0.03
Black, Dark Red, Brown",26,"Lmax=0.19
Lmin=0.03
Bmax=0.07
Bmax=0.05
White",1,"Black,
White, Brown, Blue, Red, Dark Red, and Transparent",133,"Polyvinyl Stearate-64.61%
Polyethylene Glycol-33.86%"
S-05,6.4,Ashulia Landing Station,Turag,"Lmax=0.92
Lmin=0.29
Black, Red, Brown, Blue",18,"Lmax=0.16
Lmin=0.09
Bmax=0.09
Bmin=0.03
Black, Dark Green",54,"Lmax=0.24
Lmin=0.11
Bmax=0.15
Bmin=0.04
White, Transparent",23,"Dmax=
Dmin=
Black, Light Brown",14,0,,"Black, Transparent, White, Blue, Dark green, Red, and Light brown",109,"Alkyd resin-78.56%
Polyvinyl Stearate-64.27%"
S-06,8.0,Rustompur,Turag,"Lmax=1.88
Lmin=0.11
Black, Blue, Red",21,"Lmax=0.24
Lmin=0.05
Bmax=0.12
Bmin=0.05
Black, Blue, Bluish-Green",61,"Lmax=0.33
Lmin=0.13
Bmax=0.08
Bmin=0.04
White, Black, Transparent",19,"Dmax=0.12
Dmin=0.05
Black, Brown",14,"Lmax=0.22
Lmin=0.06
Bmax=0.11
Bmin=0.06
White",1,"Black, White, Blue, Transparent , Brown, Red, and Bluish-Green",116,Polyethylene Glycol-24.31%
S-07,9.6,Deul,Turag,"Lmax=0.55
Lmin=0.12
Black, Blue, Red",16,"Lmax=0.09
Lmin=0.02
Bmax=0.04
Bmin=0.02
Black, Blue",67,"White, Black, Transparent",23,"Dmax=0.09
Dmin=0.02 Black, Brown",21,"Dmax=0.18
Dmin=0.05
White",5,"Black, White, Transparent, Blue, Red, and Brown",132,"Alkyd resin-87.12%
Polyvinyl Stearate-86.01%"
S-08,11.2,Dhaka Boat Club,Turag,"Lmax=0.55
Lmin=0.12
Black, Blue, Red",13,"Lmax=0.07
Lmin=0.02
Bmax=0.04
Bmin=0.03
Black, Blue, Bluish-Green",41,"Lmax=0.04
Lmin=0.02
Bmax=0.03
Bmin=0.01
White, Black, Transparent",14,"Dmax=0.04
Dmin=0.02
Black, Brown",19,"Dmax=0.19
Dmin=0.04
White",6,"Black, White, Transparent, Blue, Red,Bluish-Green and Brown",932,"Polyethylene Glycol-29.62%
Polyvinyl Alcohol-28.33%
Nylon II- 28.16%"
S-09,12.8,Birulia,Turag,"Lmax=1.34
Lmin=0.14
Black, Blue, Red",27,"Lmax=0.07
Lmin=0.02
Bmax=0.03
Bmin=0.01
Black, Blue",56,"Lmax=0.06
Lmin=0.02
Bmax=0.04
Bmin=0.02
White, Black, Transparent",18,"Dmax=0.04
Dmin=0.02
Black, Brown",21,"Lmax=0.21
Lmin=0.03
Bmax=0.06
Bmin=0.07
White",5,"Black, White, Transparent, Blue, Red and Brown",127,"Polyethylene Glycol-34.06%
Nylon 6/10-28.94%
Polyamide 6 +Polyamide 6.6- 26.02%"
S-10,14.4,Uttar Kaundia,Turag,"Lmax=0.12
Lmin=0.06
Black, Blue, Red",19,"Lmax=0.09
Lmin=0.02
Bmax=0.05
Bmin=0.02
Black, Dark Red, Green ,Light Blue",63,"Lmax=0.11
Lmin=0.06
Bmax=0.06
Bmin=0.02 Black, Transparent",21,"Dmax=0.06
Dmin=0.02
Black, Brown",24,"Lmax=0.16
Lmin=0.08
Bmax=0.14
Bmin=0.06
White",9,"Red, White, Black, Dark Red, Green ,Light Blue, Transparent and Brown",136,"Polyvinyl Stearate-85.80%
Alkyd Resin-84.30%
Polyethylene Glycol-31.00%"
